##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	28_4D_mbnl_S20_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12428766
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.124748184976692	32.0	32.0	32.0	32.0	32.0
2	31.46762373674104	32.0	32.0	32.0	32.0	32.0
3	35.04293121296193	37.0	32.0	37.0	32.0	37.0
4	35.82018778050854	37.0	37.0	37.0	32.0	37.0
5	36.11500385476724	37.0	37.0	37.0	37.0	37.0
6	39.563599877896166	41.0	41.0	41.0	37.0	41.0
7	39.562462275015875	41.0	41.0	41.0	37.0	41.0
8	39.92138736862533	41.0	41.0	41.0	37.0	41.0
9	40.0029850107404	41.0	41.0	41.0	37.0	41.0
10-11	40.08100442151699	41.0	41.0	41.0	37.0	41.0
12-13	40.09993908486169	41.0	41.0	41.0	37.0	41.0
14-15	40.07189961577843	41.0	41.0	41.0	37.0	41.0
16-17	40.02777226636981	41.0	41.0	41.0	37.0	41.0
18-19	40.02148403147987	41.0	41.0	41.0	37.0	41.0
20-21	40.0030587509653	41.0	41.0	41.0	37.0	41.0
22-23	40.01541943101994	41.0	41.0	41.0	37.0	41.0
24-25	40.006088617325325	41.0	41.0	41.0	37.0	41.0
26-27	39.943690628659354	41.0	41.0	41.0	37.0	41.0
28-29	39.906791712065385	41.0	41.0	41.0	37.0	41.0
30-31	39.88060037496884	41.0	41.0	41.0	37.0	41.0
32-33	39.88060733463	41.0	41.0	41.0	37.0	41.0
34-35	39.92166394475525	41.0	41.0	41.0	37.0	41.0
36-37	39.9191625701216	41.0	41.0	41.0	37.0	41.0
38-39	39.899787718265834	41.0	41.0	41.0	37.0	41.0
40-41	39.884488049738806	41.0	41.0	41.0	37.0	41.0
42-43	39.861700027178884	41.0	41.0	41.0	37.0	41.0
44-45	39.81870766574896	41.0	41.0	41.0	37.0	41.0
46-47	39.82094010781118	41.0	41.0	41.0	37.0	41.0
48-49	39.81628381289019	41.0	41.0	41.0	37.0	41.0
50-51	39.81255134258703	41.0	41.0	41.0	37.0	41.0
52-53	39.766066478361566	41.0	41.0	41.0	37.0	41.0
54-55	39.76668665256068	41.0	41.0	41.0	37.0	41.0
56-57	39.745046209736344	41.0	41.0	41.0	37.0	41.0
58-59	39.73130341338794	41.0	41.0	41.0	37.0	41.0
60-61	39.706651287826965	41.0	41.0	41.0	37.0	41.0
62-63	39.670122359693636	41.0	41.0	41.0	37.0	41.0
64-65	39.66002031094639	41.0	41.0	41.0	37.0	41.0
66-67	39.63498994992745	41.0	41.0	41.0	37.0	41.0
68-69	39.61683987774812	41.0	41.0	41.0	37.0	41.0
70-71	39.5270488639017	41.0	41.0	41.0	37.0	41.0
72-73	39.52851417429534	41.0	41.0	41.0	37.0	41.0
74-75	39.49282342269538	41.0	41.0	41.0	37.0	41.0
76-77	39.118325182081634	41.0	41.0	41.0	34.5	41.0
78-79	39.212969775116854	41.0	41.0	41.0	37.0	41.0
80-81	39.36112205346855	41.0	41.0	41.0	37.0	41.0
82-83	39.40100187741888	41.0	41.0	41.0	37.0	41.0
84-85	39.36514662839416	41.0	41.0	41.0	37.0	41.0
86-87	39.33066190963769	41.0	41.0	41.0	37.0	41.0
88-89	39.18706100830927	41.0	41.0	41.0	37.0	41.0
90-91	39.2023476425576	41.0	41.0	41.0	37.0	41.0
92-93	39.134199525520074	41.0	41.0	41.0	37.0	41.0
94-95	39.049088461396735	41.0	41.0	41.0	37.0	41.0
96-97	39.030989601059346	41.0	41.0	41.0	37.0	41.0
98-99	38.83527845805448	41.0	41.0	41.0	32.0	41.0
100-101	38.35753971874601	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.2937022716450244
1101	2	-0.024563064289509384
1101	3	-0.5075825091646635
1101	4	-0.23106848111318357
1101	5	0.0692213455482289
1101	6	-0.05667188644778065
1101	7	-0.17223103902108505
1101	8	0.08359576282673942
1101	9	0.08289758275837755
1101	10-11	0.10176326064746632
1101	12-13	0.13740737918985246
1101	14-15	0.046036253499238455
1101	16-17	0.045470024171301304
1101	18-19	0.07661183484193401
1101	20-21	0.11743620560341839
1101	22-23	0.038351164391372095
1101	24-25	0.0624136100109709
1101	26-27	0.062008765555219725
1101	28-29	0.0688963684345083
1101	30-31	0.08875906314164439
1101	32-33	0.08416148087684405
1101	34-35	0.05935103750121584
1101	36-37	0.035151883967891706
1101	38-39	0.0085815322215268
1101	40-41	0.026996871665659228
1101	42-43	0.05747125498344019
1101	44-45	0.07746031133230247
1101	46-47	0.048241672936789826
1101	48-49	0.01862327555362242
1101	50-51	0.05530001356495973
1101	52-53	0.10684359495861884
1101	54-55	0.07122944998839387
1101	56-57	0.03895782421575689
1101	58-59	0.05714888948703134
1101	60-61	0.08845691687492518
1101	62-63	0.11944761561522199
1101	64-65	0.12374925180915852
1101	66-67	0.08577384200725646
1101	68-69	0.020534395683007745
1101	70-71	0.16062341309958583
1101	72-73	0.1199894192693094
1101	74-75	0.07469328521307972
1101	76-77	0.1068601096385251
1101	78-79	0.15819633346844597
1101	80-81	0.20337242886429863
1101	82-83	0.15169569860750443
1101	84-85	0.1744180599641112
1101	86-87	0.16046070687972502
1101	88-89	0.2893788221047444
1101	90-91	0.3144574067279109
1101	92-93	0.3473255412353353
1101	94-95	0.37287360546713444
1101	96-97	0.24253581066895435
1101	98-99	0.47549514046203
1101	100-101	0.31916141054032465
1102	1	-0.30059847983481447
1102	2	-0.02857955526289402
1102	3	-0.4933445103627321
1102	4	-0.18046992060013167
1102	5	0.10261560611772325
1102	6	-0.05730257592848176
1102	7	-0.21558103670395923
1102	8	0.022780512925798746
1102	9	0.013300683637083921
1102	10-11	0.03599416038979797
1102	12-13	0.03336321753981508
1102	14-15	-0.018686505101122464
1102	16-17	0.06307461648402324
1102	18-19	0.05330670654429781
1102	20-21	0.05532633278952659
1102	22-23	0.050465554698945425
1102	24-25	0.04423551636568135
1102	26-27	0.08620179432736563
1102	28-29	0.04186133126656699
1102	30-31	0.07556632883707692
1102	32-33	0.057331868799465724
1102	34-35	0.02259015875314674
1102	36-37	-0.005246465237625841
1102	38-39	0.043504323863572836
1102	40-41	0.010815256973629062
1102	42-43	0.0626816749715573
1102	44-45	0.09415263962157638
1102	46-47	0.05203233033885368
1102	48-49	0.07610786468386976
1102	50-51	0.015030775545930908
1102	52-53	0.05892322408143258
1102	54-55	0.007978659229657126
1102	56-57	0.04353564708112856
1102	58-59	0.05295985558043981
1102	60-61	0.052494394541945155
1102	62-63	0.06449230492562208
1102	64-65	0.08358740910325935
1102	66-67	0.009108685118661697
1102	68-69	0.02558490264381419
1102	70-71	0.08797149103676816
1102	72-73	0.10073566219298158
1102	74-75	0.13354471630804454
1102	76-77	0.13618872456181208
1102	78-79	0.21208867641367846
1102	80-81	0.21875540757300627
1102	82-83	0.14944692577224572
1102	84-85	0.14297900092104499
1102	86-87	0.13921881678405157
1102	88-89	0.2898703359426946
1102	90-91	0.2736527215459148
1102	92-93	0.3159301030586761
1102	94-95	0.34535051617373824
1102	96-97	0.3356528589468013
1102	98-99	0.4966479962991883
1102	100-101	0.40869755981422884
1103	1	-0.24845951795802534
1103	2	-0.02750249939436955
1103	3	-0.40656812604373016
1103	4	-0.2023745505105623
1103	5	0.08596869427074694
1103	6	0.07673430582211438
1103	7	-0.022819732783283087
1103	8	0.08939697085730103
1103	9	-0.03925061368421012
1103	10-11	-5.583551211074678E-4
1103	12-13	0.028937484318497297
1103	14-15	0.03773809110145976
1103	16-17	0.03664277740642774
1103	18-19	0.05701994364337537
1103	20-21	0.09890010723278664
1103	22-23	0.059231034779656966
1103	24-25	0.038880024684395664
1103	26-27	0.05902431133552
1103	28-29	0.051445751461308475
1103	30-31	0.049706033554237194
1103	32-33	0.052681740693145684
1103	34-35	-0.01676819366503679
1103	36-37	0.048036932403796584
1103	38-39	-0.007099252077352958
1103	40-41	0.034735177812088125
1103	42-43	-0.029845166865300143
1103	44-45	0.10161979407642008
1103	46-47	0.07050866222991914
1103	48-49	0.029183029874900512
1103	50-51	-0.01244000356224717
1103	52-53	0.05363611002830737
1103	54-55	0.06401735988700352
1103	56-57	0.022026131430230578
1103	58-59	0.012459602956333526
1103	60-61	0.07318386927526888
1103	62-63	0.09430670713990708
1103	64-65	0.06185388199332209
1103	66-67	0.09465287860427196
1103	68-69	0.08977255506490422
1103	70-71	0.15456996917711052
1103	72-73	0.12589276664792948
1103	74-75	0.07832901678153092
1103	76-77	0.04952174032499812
1103	78-79	0.1473625702697987
1103	80-81	0.1357350927425358
1103	82-83	0.12127247346158754
1103	84-85	0.1563427971302005
1103	86-87	0.12037005460753392
1103	88-89	0.22882821933117725
1103	90-91	0.3026491813782144
1103	92-93	0.35199359381175555
1103	94-95	0.33694247566060653
1103	96-97	0.22333328085321824
1103	98-99	0.4888647999110347
1103	100-101	0.2752905149717151
1104	1	-0.15512669099108933
1104	2	-0.0790941893453656
1104	3	-0.2081660145090325
1104	4	-0.12370406105207365
1104	5	0.10731620458961544
1104	6	0.12654890992693169
1104	7	-0.03323895154222356
1104	8	0.1237098050444061
1104	9	0.01782142752817606
1104	10-11	0.01745668074945428
1104	12-13	0.04353030624048415
1104	14-15	0.049096293167856686
1104	16-17	0.0503826623512964
1104	18-19	0.0692710611484273
1104	20-21	0.13557981868068936
1104	22-23	0.042116243046152135
1104	24-25	0.06322995451952096
1104	26-27	0.07863054761649835
1104	28-29	0.0518296311541846
1104	30-31	0.06931896859493492
1104	32-33	0.07915150065957732
1104	34-35	0.03251332174114907
1104	36-37	0.09272179759003762
1104	38-39	0.0913263121156973
1104	40-41	0.03664347618045838
1104	42-43	0.036506324048460215
1104	44-45	0.07793163335565367
1104	46-47	0.05506430731178824
1104	48-49	0.06109519244360939
1104	50-51	0.036646045576056
1104	52-53	0.03252377270060691
1104	54-55	0.05861563567813022
1104	56-57	0.0969207148971094
1104	58-59	0.037961328325451404
1104	60-61	0.0029450020436954105
1104	62-63	0.07293666724930858
1104	64-65	0.10227484868799763
1104	66-67	0.04458331813982852
1104	68-69	0.12818870278629646
1104	70-71	0.1171351876965403
1104	72-73	0.14558237716639155
1104	74-75	0.08585590707291857
1104	76-77	0.07343958574761444
1104	78-79	0.14828624977277371
1104	80-81	0.21093418774545114
1104	82-83	0.16843919824593456
1104	84-85	0.17441801890711162
1104	86-87	0.18546747758931303
1104	88-89	0.3037082195116767
1104	90-91	0.29910870364705033
1104	92-93	0.3411397050096383
1104	94-95	0.3811275730224821
1104	96-97	0.3131487607786738
1104	98-99	0.5563872192023283
1104	100-101	0.39671958711625877
1105	1	-0.22446033411469912
1105	2	-0.07749939266036776
1105	3	-0.24738761211207105
1105	4	-0.015563630614082058
1105	5	0.1424485150815329
1105	6	0.06738798132650459
1105	7	0.03400911355132763
1105	8	0.14004633125858845
1105	9	-0.00715628630981513
1105	10-11	0.06642508427044191
1105	12-13	0.012865641235364933
1105	14-15	0.07090269873441457
1105	16-17	0.03781529330598943
1105	18-19	0.03512218142049761
1105	20-21	0.050422835338061134
1105	22-23	0.024384575639885497
1105	24-25	-0.02187864652572813
1105	26-27	-0.05232942478952651
1105	28-29	0.012548818056842492
1105	30-31	0.014957623445027934
1105	32-33	0.00501684243931777
1105	34-35	-0.023706022728241294
1105	36-37	0.030115231215773974
1105	38-39	0.039695903335214666
1105	40-41	-0.009683311821767404
1105	42-43	0.018139988743016033
1105	44-45	0.08923455296177707
1105	46-47	0.07264532149464031
1105	48-49	0.05654987505587172
1105	50-51	0.026665710030989942
1105	52-53	0.04914014698475455
1105	54-55	0.044966443847265225
1105	56-57	0.051326974579325224
1105	58-59	-0.005216033973667322
1105	60-61	0.009591502812178021
1105	62-63	0.015880474632979258
1105	64-65	0.05144301701278664
1105	66-67	-2.4990809740188524E-4
1105	68-69	-0.006959009933865445
1105	70-71	0.04369214507701713
1105	72-73	0.08563445107140666
1105	74-75	0.02203846174452906
1105	76-77	0.09141230810039502
1105	78-79	0.08317452292602212
1105	80-81	0.19069574875496187
1105	82-83	0.14698884021652248
1105	84-85	0.13379987293844664
1105	86-87	0.0661843781000826
1105	88-89	0.23111832377963992
1105	90-91	0.26423760127406126
1105	92-93	0.31239080277834574
1105	94-95	0.3516683581367346
1105	96-97	0.2715537834860129
1105	98-99	0.48703700406098704
1105	100-101	0.3194991196734378
1106	1	-0.16538406892975743
1106	2	-0.037027551170247364
1106	3	-0.1497217861118898
1106	4	-0.03079145771263825
1106	5	0.1499381395606889
1106	6	0.06842370887434157
1106	7	-0.0018443393734770552
1106	8	0.0666638748106152
1106	9	-0.011476357046994679
1106	10-11	0.07650881151531763
1106	12-13	0.07775435626257376
1106	14-15	0.09674076636052575
1106	16-17	0.10046077407359633
1106	18-19	0.0665369767176216
1106	20-21	0.10297724259279306
1106	22-23	0.09844097999682333
1106	24-25	0.06252567002585607
1106	26-27	0.06838910646501972
1106	28-29	0.06641624239642141
1106	30-31	0.1205556665211347
1106	32-33	0.06679658637568053
1106	34-35	0.025686662259090554
1106	36-37	0.06243177689919577
1106	38-39	0.07845219877009413
1106	40-41	0.06017034153745726
1106	42-43	0.04633469663590972
1106	44-45	0.09603441420392755
1106	46-47	0.11636257736969213
1106	48-49	0.07827931774792773
1106	50-51	0.041341845235102426
1106	52-53	0.10623167672011391
1106	54-55	0.038792414864694535
1106	56-57	0.057880531335129604
1106	58-59	0.11465472111248687
1106	60-61	0.060673500620460175
