##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	28_4D_mbnl_S20_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12428766
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.36476316313301	32.0	32.0	32.0	27.0	32.0
2	30.754835355336162	32.0	32.0	32.0	32.0	32.0
3	33.665103760099754	37.0	32.0	37.0	27.0	37.0
4	34.31490962175972	37.0	37.0	37.0	27.0	37.0
5	34.99040025373396	37.0	37.0	37.0	32.0	37.0
6	37.71846553390739	41.0	37.0	41.0	32.0	41.0
7	37.74306089598919	41.0	37.0	41.0	27.0	41.0
8	38.01126370872217	41.0	41.0	41.0	32.0	41.0
9	38.20723239941922	41.0	41.0	41.0	32.0	41.0
10-11	38.06675735145387	41.0	41.0	41.0	32.0	41.0
12-13	38.158030089230095	41.0	41.0	41.0	32.0	41.0
14-15	38.06054169014044	41.0	41.0	41.0	29.5	41.0
16-17	37.654322641523706	41.0	37.0	41.0	27.0	41.0
18-19	37.8406585979654	41.0	39.0	41.0	27.0	41.0
20-21	37.71826877261991	41.0	37.0	41.0	27.0	41.0
22-23	37.824995779951124	41.0	39.0	41.0	27.0	41.0
24-25	38.054155456784684	41.0	41.0	41.0	27.0	41.0
26-27	37.97644818479968	41.0	41.0	41.0	27.0	41.0
28-29	37.996257311465996	41.0	41.0	41.0	27.0	41.0
30-31	37.78342439627554	41.0	39.0	41.0	27.0	41.0
32-33	37.116472021438014	41.0	37.0	41.0	27.0	41.0
34-35	36.58333715511259	41.0	37.0	41.0	22.0	41.0
36-37	36.36480797852337	41.0	37.0	41.0	22.0	41.0
38-39	36.379400255825885	41.0	37.0	41.0	22.0	41.0
40-41	37.15884276041564	41.0	37.0	41.0	27.0	41.0
42-43	37.60996308885372	41.0	37.0	41.0	27.0	41.0
44-45	37.878619204834976	41.0	39.0	41.0	27.0	41.0
46-47	37.92318074859564	41.0	41.0	41.0	27.0	41.0
48-49	37.91290519107045	41.0	41.0	41.0	27.0	41.0
50-51	37.91785419405274	41.0	41.0	41.0	27.0	41.0
52-53	37.979643916379146	41.0	41.0	41.0	27.0	41.0
54-55	37.78847839761406	41.0	39.0	41.0	27.0	41.0
56-57	37.89150399162717	41.0	41.0	41.0	27.0	41.0
58-59	37.800776883240054	41.0	39.0	41.0	27.0	41.0
60-61	37.70434804227547	41.0	37.0	41.0	27.0	41.0
62-63	37.74313886028589	41.0	37.0	41.0	27.0	41.0
64-65	37.68612350574466	41.0	37.0	41.0	27.0	41.0
66-67	37.6662746728034	41.0	37.0	41.0	27.0	41.0
68-69	37.571260533829346	41.0	37.0	41.0	27.0	41.0
70-71	37.58973561816193	41.0	37.0	41.0	27.0	41.0
72-73	37.488113220572345	41.0	37.0	41.0	27.0	41.0
74-75	37.461683002158054	41.0	37.0	41.0	27.0	41.0
76-77	36.93635196768528	41.0	37.0	41.0	24.5	41.0
78-79	37.08990067879627	41.0	37.0	41.0	24.5	41.0
80-81	37.4484804042493	41.0	37.0	41.0	27.0	41.0
82-83	37.527752755181005	41.0	37.0	41.0	27.0	41.0
84-85	37.40452760957926	41.0	37.0	41.0	27.0	41.0
86-87	37.33256893725411	41.0	37.0	41.0	27.0	41.0
88-89	37.29109941405285	41.0	37.0	41.0	27.0	41.0
90-91	37.179244544470464	41.0	37.0	41.0	27.0	41.0
92-93	37.05857556574804	41.0	37.0	41.0	22.0	41.0
94-95	36.90698626074383	41.0	37.0	41.0	22.0	41.0
96-97	36.83298699967479	41.0	37.0	41.0	22.0	41.0
98-99	36.631160688036125	41.0	37.0	41.0	22.0	41.0
100-101	35.62036295477765	39.0	34.5	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.4912101715802777
1101	2	-0.5378791438672366
1101	3	-1.0640773560951402
1101	4	-0.9678891500287463
1101	5	-0.942933892634052
1101	6	-1.3504194991426672
1101	7	-0.5823573777288686
1101	8	-0.30339402669154936
1101	9	0.046774755530442746
1101	10-11	0.13426640458475703
1101	12-13	0.05184835668305965
1101	14-15	0.08041399042525654
1101	16-17	0.09441867801407966
1101	18-19	0.055373281354988535
1101	20-21	0.2481802037778209
1101	22-23	0.02984761007102321
1101	24-25	0.08035748318341263
1101	26-27	0.13879027046165504
1101	28-29	0.05708544630684287
1101	30-31	0.0808987187849155
1101	32-33	0.34107902793167
1101	34-35	0.1826560591750237
1101	36-37	0.23972575839765398
1101	38-39	-0.04312526851188636
1101	40-41	-0.16668201281117945
1101	42-43	-0.06681865045804614
1101	44-45	-0.028427296764583332
1101	46-47	0.038272451626227166
1101	48-49	0.0481469187643242
1101	50-51	0.09018865230090967
1101	52-53	0.04346451404137497
1101	54-55	0.19200564867031034
1101	56-57	0.019156349781475512
1101	58-59	-0.04001836948122417
1101	60-61	0.07948016586259854
1101	62-63	-0.04313961625824447
1101	64-65	-0.1311785518422397
1101	66-67	0.008796793998442354
1101	68-69	0.008635865073628679
1101	70-71	-0.03758270308835421
1101	72-73	-0.05551415844318086
1101	74-75	-0.046298869106145446
1101	76-77	-0.14767574495268576
1101	78-79	0.07400637636101948
1101	80-81	-0.0072622402823441234
1101	82-83	-0.14328591198866292
1101	84-85	0.011882540741119385
1101	86-87	-0.08341545033530195
1101	88-89	-0.20418088983416993
1101	90-91	-0.16670165305303186
1101	92-93	-0.14271755795063967
1101	94-95	0.001475390666854537
1101	96-97	-0.12834110019881706
1101	98-99	-0.1286705914685129
1101	100-101	-0.11345761268896126
1102	1	-0.6516789640859564
1102	2	-0.6858245953036537
1102	3	-1.4566273298206553
1102	4	-1.3609761414328787
1102	5	-1.3372432550089712
1102	6	-1.6622453635256988
1102	7	-1.3861772796122622
1102	8	-1.0093610027108753
1102	9	-0.5338717818509409
1102	10-11	-0.37480278055970473
1102	12-13	-0.3125409395111589
1102	14-15	-0.2594692756960413
1102	16-17	-0.31020411257875935
1102	18-19	-0.28596661746829
1102	20-21	-0.193320012624433
1102	22-23	-0.3618964260068296
1102	24-25	-0.35722392667390324
1102	26-27	-0.10520332124249876
1102	28-29	-0.24994610250740124
1102	30-31	-0.2360818163922218
1102	32-33	-0.10962836520411656
1102	34-35	-0.20131255952143334
1102	36-37	-0.28416516401206593
1102	38-39	-0.5142325004584976
1102	40-41	-0.4889659737483285
1102	42-43	-0.4268888806285389
1102	44-45	-0.34451503080060064
1102	46-47	-0.3290048830505228
1102	48-49	-0.31399348947831385
1102	50-51	-0.2058182878323862
1102	52-53	-0.38479199618998905
1102	54-55	-0.16037560003729823
1102	56-57	-0.3312656601055721
1102	58-59	-0.292190293943726
1102	60-61	-0.23343059592563264
1102	62-63	-0.3114227288867184
1102	64-65	-0.2135719959738367
1102	66-67	-0.277974461664499
1102	68-69	-0.1861186899726519
1102	70-71	-0.33810141398149085
1102	72-73	-0.24322153023310733
1102	74-75	-0.29129546116942606
1102	76-77	-0.6966413392142599
1102	78-79	-0.33216240187352497
1102	80-81	-0.3746571580674072
1102	82-83	-0.4411329537637556
1102	84-85	-0.25044896718709
1102	86-87	-0.31942483652615294
1102	88-89	-0.4077971657307842
1102	90-91	-0.39287274545470297
1102	92-93	-0.3977809908307677
1102	94-95	-0.39243828399209946
1102	96-97	-0.4682632838621785
1102	98-99	-0.3464367775069661
1102	100-101	-0.43150331104332906
1103	1	-0.7298803774253493
1103	2	-0.6358797781316206
1103	3	-1.5382151364334007
1103	4	-1.2122070368637523
1103	5	-1.3599098306209072
1103	6	-1.2866890351446685
1103	7	-1.33324263055016
1103	8	-1.2909628666260602
1103	9	-0.6756979576991853
1103	10-11	-0.5135253706958451
1103	12-13	-0.2800893088599494
